cusec,piece_id,average_prize_buy,number_of_ads_buy,average_prize_rent,number_of_ads_rent,extra_data
piece,Alcobendas--piece--0-0--,0,0,0,0,
piece,Alcobendas--piece--0-1--,0,0,0,0,
piece,Alcobendas--piece--0-2--,0,0,0,0,
piece,Alcobendas--piece--0-3--,0,0,0,0,
piece,Alcobendas--piece--0-4--,0,0,0,0,
piece,Alcobendas--piece--0-5--,0,0,0,0,
piece,Alcobendas--piece--0-6--,0,0,0,0,
piece,Alcobendas--piece--0-7--,0,0,0,0,
piece,Alcobendas--piece--1-0--,0,0,0,0,
piece,Alcobendas--piece--1-1--,3450.35,5,15.8333,1,
piece,Alcobendas--piece--1-2--,3611.11,2,13.587,1,
piece,Alcobendas--piece--1-3--,3395.4,13,0,0,
piece,Alcobendas--piece--1-4--,0,0,0,0,
piece,Alcobendas--piece--1-5--,0,0,0,0,
piece,Alcobendas--piece--1-6--,0,0,0,0,
piece,Alcobendas--piece--1-7--,0,0,0,0,
piece,Alcobendas--piece--2-0--,3693.49,4,0,0,
piece,Alcobendas--piece--2-1--,3626.53,15,13.5417,1,
piece,Alcobendas--piece--2-2--,3007.58,9,10.3704,2,
piece,Alcobendas--piece--2-3--,0,0,0,0,
piece,Alcobendas--piece--2-4--,0,0,0,0,
piece,Alcobendas--piece--2-5--,0,0,0,0,
piece,Alcobendas--piece--2-6--,3943.66,1,20,1,
piece,Alcobendas--piece--2-7--,2816.59,6,12.375,1,
piece,Alcobendas--piece--3-0--,4204.82,1,9.43878,2,
piece,Alcobendas--piece--3-1--,3390.22,6,12.2853,5,
piece,Alcobendas--piece--3-2--,3491.06,6,0,0,
piece,Alcobendas--piece--3-3--,2833.33,1,8.02962,2,
piece,Alcobendas--piece--3-4--,0,0,0,0,
piece,Alcobendas--piece--3-5--,2628.91,2,0,0,
piece,Alcobendas--piece--3-6--,2865.38,7,12.8571,1,
piece,Alcobendas--piece--3-7--,1577.78,11,10.1032,4,
piece,Alcobendas--piece--4-0--,2973.3,2,9.9,1,
piece,Alcobendas--piece--4-1--,2640.73,6,10.625,1,
piece,Alcobendas--piece--4-2--,2705.41,5,12.6885,2,
piece,Alcobendas--piece--4-3--,2586.76,1,12,1,
piece,Alcobendas--piece--4-4--,2080,1,8.10935,5,
piece,Alcobendas--piece--4-5--,0,0,9.67742,1,
piece,Alcobendas--piece--4-6--,2088.67,15,13.6076,6,
piece,Alcobendas--piece--4-7--,755.145,15,12.8667,2,
piece,Alcobendas--piece--5-0--,2532.9,13,9.8125,2,
piece,Alcobendas--piece--5-1--,2215.95,17,0,0,
piece,Alcobendas--piece--5-2--,2277.99,19,11.7089,5,
piece,Alcobendas--piece--5-3--,2833.19,14,10.5068,5,
piece,Alcobendas--piece--5-4--,0,0,0,0,
piece,Alcobendas--piece--5-5--,4625,1,12.6667,1,
piece,Alcobendas--piece--5-6--,1208.65,16,13.7303,4,
piece,Alcobendas--piece--5-7--,1399.49,12,12.8493,5,
piece,Alcobendas--piece--6-0--,2687.63,5,0,0,
piece,Alcobendas--piece--6-1--,2633.85,30,12.5636,2,
piece,Alcobendas--piece--6-2--,2146.79,15,10.625,2,
piece,Alcobendas--piece--6-3--,2224.07,27,12.9374,3,
piece,Alcobendas--piece--6-4--,3809.4,7,11.8224,2,
piece,Alcobendas--piece--6-5--,2364.79,19,15.2274,4,
piece,Alcobendas--piece--6-6--,1707.16,22,14.2062,4,
piece,Alcobendas--piece--6-7--,3.87588,7,0,0,
piece,Alcobendas--piece--7-0--,2496.21,16,13.0952,1,
piece,Alcobendas--piece--7-1--,2486.72,29,11.6782,7,
piece,Alcobendas--piece--7-2--,2491,30,10,1,
piece,Alcobendas--piece--7-3--,2140.05,10,8.57143,1,
piece,Alcobendas--piece--7-4--,1791.72,4,15.9921,3,
piece,Alcobendas--piece--7-5--,2343.76,2,10.9524,2,
piece,Alcobendas--piece--7-6--,1149.08,6,0,0,
piece,Alcobendas--piece--7-7--,4.15062,3,0,0,
piece,Alcorcón--piece--0-0--,0,0,0,0,
